unit,L1,L2,L3,L4
fan_id01,2843,6607,10086,1278
fan_id02,1876,6401,7952,856
fan_id03,2695,5853,13283,1007
fan_id04,2269,6310,13633,689
fan_id05,2667,5626,14052,1532
fan_id06,2386,5174,8707,1330
pump_id00,2422,7635,10220,851
pump_id01,3000,7131,10102,1180
pump_id02,1901,5376,11505,857
pump_id03,3446,8544,11676,1398
pump_id04,2128,5009,10604,745
pump_id05,2998,7062,13326,944
pump_id06,2217,6952,11162,1045
slider_id00,2389,4446,9817,1489
slider_id01,2242,5782,11416,1699
slider_id02,2581,4332,11145,2983
slider_id03,2728,7039,9321,1559
slider_id04,2988,7836,11102,1519
slider_id05,3229,7288,10143,2268
slider_id06,2916,6860,13772,2229
valve_id00,3699,8211,12517,3410
valve_id01,2385,5846,10880,3745
valve_id02,2970,7410,13156,1918
valve_id03,2988,7379,8900,4276
valve_id04,2034,6203,10899,3144
valve_id05,3100,5904,11604,3153
valve_id06,2910,5959,12559,1603
ToyCar_id01,2863,4873,12009,836
ToyCar_id02,2338,4470,8416,1481
ToyCar_id03,2110,4451,13853,1444
ToyCar_id04,1671,4718,8228,1783
ToyCar_id05,1649,5901,12196,670
ToyCar_id06,1849,4378,9224,1190
ToyCar_id07,1888,5088,12287,1301
ToyConveyor_id01,2753,6118,9246,372
ToyConveyor_id02,1732,5088,16953,358
ToyConveyor_id03,1772,4767,9289,1048
ToyConveyor_id04,2331,5315,9742,662
ToyConveyor_id05,2074,5378,10466,443
ToyConveyor_id06,2159,3553,11556,813
