unit,epochs,sec,val_loss,val_auc,test_auc,test_pauc,test_f1_bal,test_acc_bal,test_seg_f1,test_seg_acc,test_auc_bestval
fan_id01,60,140.9,0.186,0.9832,0.9848,0.9755,0.9234,0.9265,0.9278,0.9148,0.974
fan_id02,60,136.3,0.6474,0.9257,0.9712,0.9316,0.8868,0.8935,0.8976,0.8775,0.7849
fan_id03,60,135.6,0.1474,0.9861,0.9859,0.9582,0.9246,0.926,0.9375,0.9222,0.988
fan_id04,60,145.7,0.2613,0.9133,0.9783,0.9383,0.8192,0.8345,0.8364,0.8131,0.8971
fan_id05,60,147.3,0.2603,0.9764,0.9759,0.9693,0.9302,0.9321,0.9366,0.9246,0.975
fan_id06,60,138.1,0.0561,0.9993,0.9992,0.9956,0.9777,0.978,0.9784,0.9726,0.9992
pump_id00,60,129.7,1.28,0.7482,0.8849,0.8808,0.7727,0.8104,0.7688,0.8378,0.8493
pump_id01,60,122.1,0.7971,0.9046,0.9343,0.8857,0.8008,0.8293,0.792,0.8677,0.871
pump_id02,60,166.7,0.3668,0.9709,0.9909,0.9737,0.9355,0.9384,0.9285,0.9506,0.9896
pump_id03,60,95.1,0.5221,0.9435,0.9282,0.8772,0.8144,0.8412,0.8045,0.8771,0.9318
pump_id04,60,89.4,0.0389,1.0,1.0,1.0,0.9817,0.982,0.9807,0.9873,1.0
pump_id05,60,143.5,0.0531,0.998,0.9709,0.8981,0.8669,0.877,0.8725,0.8701,0.9642
pump_id06,60,141.2,1.1283,0.9259,0.9247,0.87,0.7719,0.8059,0.7614,0.8609,0.738
slider_id00,60,147.8,0.2287,0.9719,0.9979,0.9965,0.9411,0.944,0.9401,0.9273,0.9987
slider_id01,60,137.4,0.3166,0.9574,0.9861,0.9367,0.8602,0.8736,0.8575,0.8783,0.9457
slider_id02,60,134.4,0.6722,0.9548,0.9397,0.8676,0.8313,0.819,0.8578,0.8303,0.949
slider_id03,60,147.5,0.4822,0.9318,0.9255,0.9018,0.7668,0.8011,0.7638,0.8095,0.9192
slider_id04,60,65.1,0.0623,0.9922,1.0,1.0,0.939,0.9416,0.939,0.945,0.9999
slider_id05,60,72.7,0.328,0.9399,0.9893,0.9556,0.8843,0.8921,0.8827,0.8968,0.976
slider_id06,60,48.0,0.7196,0.8934,0.9982,0.9906,0.8536,0.8700,0.8462,0.9145,0.6156
valve_id00,60,92.6,1.0722,0.7926,0.9292,0.8956,0.7509,0.7208,0.6769,0.6987,0.7023
valve_id01,60,75.4,2.0592,0.7135,0.8858,0.8868,0.7749,0.7725,0.7121,0.7625,0.484
valve_id02,60,79.4,0.7266,0.8417,0.9742,0.9421,0.7482,0.7925,0.7378,0.8356,0.8813
valve_id03,60,86.2,4.7344,0.7079,0.877,0.8807,0.7735,0.7608,0.7005,0.7381,0.5343
valve_id04,60,112.3,2.7683,0.7619,0.9287,0.9061,0.7583,0.7467,0.6964,0.74,0.6596
valve_id05,60,126.3,0.558,0.8494,0.9347,0.8376,0.7781,0.757,0.8443,0.79,0.927
valve_id06,60,87.7,2.2401,0.6195,0.8175,0.7991,0.6963,0.7208,0.6368,0.7262,0.4343
ToyCar_id01,60,155.9,0.2481,0.8829,0.9672,0.8959,0.7634,0.7621,0.6359,0.7591,0.9756
ToyCar_id02,60,154.3,0.5884,0.9062,0.977,0.961,0.7884,0.8062,0.7211,0.8462,0.7115
ToyCar_id03,60,153.0,0.5906,0.8122,0.9861,0.9396,0.7573,0.7645,0.6292,0.7615,0.2606
ToyCar_id04,60,151.5,0.6794,0.9195,0.9995,0.9976,0.8378,0.8172,0.6816,0.757,0.9792
ToyCar_id05,60,146.9,0.3532,0.7236,0.8175,0.7149,0.5915,0.6382,0.5254,0.6714,0.6203
ToyCar_id06,60,144.6,0.3447,0.912,0.9935,0.9818,0.8017,0.7891,0.7185,0.7681,0.9907
ToyCar_id07,60,143.0,0.8239,0.8791,0.9722,0.9539,0.7886,0.7591,0.6826,0.7097,0.901
ToyConveyor_id01,60,151.5,0.2764,0.8887,0.9654,0.8909,0.7917,0.7935,0.6027,0.793,0.9554
ToyConveyor_id02,60,151.2,0.3995,0.803,0.9218,0.8081,0.7239,0.7292,0.4916,0.7327,0.6775
ToyConveyor_id03,60,145.4,0.6844,0.8556,0.9863,0.9405,0.8309,0.8244,0.5906,0.7822,0.9646
ToyConveyor_id04,60,135.2,0.4125,0.9417,0.9981,0.9901,0.8522,0.8657,0.8509,0.8722,0.9782
ToyConveyor_id05,60,136.9,0.2733,0.8391,0.9758,0.8934,0.8182,0.8045,0.8064,0.801,0.9539
ToyConveyor_id06,60,138.3,0.3954,0.8812,0.9787,0.9168,0.8146,0.8028,0.8021,0.7987,0.9592
