epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.750579,0.508333,0.182984,0.443182,0.422304,0.335780,0.329979,0.414559,0.503622,0.260602,0.475719,1.727582
2,0.001999,0.175328,0.580000,0.255313,0.498182,0.632886,0.309241,0.437289,0.515721,0.668072,0.829989,0.613658,1.737436
3,0.001995,0.186552,0.590556,0.198883,0.501818,0.487269,0.282703,0.430429,0.503076,0.664513,0.346660,0.482503,1.720267
4,0.001988,0.159421,0.658889,0.235655,0.661818,0.726351,0.779221,0.590862,0.721121,0.674900,0.921826,0.798858,1.744364
5,0.001978,0.126199,0.759444,0.245898,0.638636,0.731242,0.647845,0.571951,0.723172,0.755287,0.950075,0.864322,1.738037
6,0.001966,0.116202,0.792222,0.279722,0.660455,0.731673,0.703557,0.599135,0.743677,0.758376,0.953212,0.874837,1.717711
7,0.001951,0.116007,0.800556,0.372701,0.672727,0.749746,0.804818,0.604349,0.728298,0.665826,0.960258,0.887840,1.719206
8,0.001934,0.102736,0.827778,0.334674,0.680909,0.762127,0.799925,0.634833,0.758715,0.723571,0.962685,0.900729,1.729909
9,0.001914,0.138786,0.763333,0.407005,0.648182,0.749388,0.648974,0.578912,0.726247,0.761961,0.960773,0.880830,1.726152
10,0.001891,0.107353,0.818889,0.365273,0.674091,0.758300,0.809147,0.635514,0.751538,0.708617,0.963845,0.903782,1.728688
11,0.001866,0.121516,0.787222,0.307145,0.681364,0.763702,0.801242,0.613470,0.738551,0.686604,0.959012,0.899486,1.730264
12,0.001839,0.092535,0.853889,0.391581,0.681364,0.745425,0.742895,0.625548,0.769310,0.771728,0.973169,0.916445,1.718792
13,0.001809,0.082014,0.873333,0.346580,0.704545,0.766624,0.798984,0.646825,0.766917,0.741471,0.969452,0.917915,1.728386
14,0.001777,0.098211,0.847222,0.407707,0.700455,0.775908,0.807830,0.634443,0.751880,0.709367,0.969667,0.923794,1.718812
15,0.001743,0.078646,0.877222,0.385134,0.698636,0.802651,0.803501,0.628205,0.748462,0.705600,0.965607,0.918141,1.726127
16,0.001707,0.096960,0.845000,0.340144,0.692727,0.745370,0.762658,0.636704,0.769310,0.766031,0.965865,0.904460,1.821171
17,0.001669,0.090274,0.845556,0.425499,0.697273,0.734439,0.781103,0.634621,0.762474,0.744015,0.952954,0.874611,1.713991
18,0.001629,0.089935,0.867778,0.388073,0.685909,0.761622,0.796913,0.623911,0.744703,0.705558,0.966574,0.912375,1.719857
19,0.001588,0.095383,0.858333,0.387663,0.689091,0.768598,0.773386,0.635593,0.766576,0.754581,0.977358,0.936910,2.007931
20,0.001545,0.106925,0.838333,0.444398,0.676364,0.751349,0.801807,0.601890,0.725906,0.664996,0.957207,0.900503,1.997640
21,0.001500,0.106617,0.832778,0.360694,0.691364,0.761747,0.809524,0.620120,0.739918,0.684625,0.963222,0.913279,1.936141
