epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.792332,0.498889,0.176281,0.514000,0.485372,0.761350,0.100924,0.494944,0.127184,0.433722,0.485031,1.806311
2,0.001999,0.174492,0.505000,0.174096,0.504000,0.511771,0.185890,0.308133,0.500562,0.666041,0.514593,0.506875,1.796972
3,0.001995,0.174504,0.501667,0.174294,0.511000,0.551700,0.316769,0.299728,0.508989,0.620660,0.505548,0.501109,1.745083
4,0.001988,0.177013,0.506111,0.173049,0.514000,0.542986,0.733436,0.168951,0.511517,0.233583,0.597658,0.514285,1.667111
5,0.001978,0.182578,0.500556,0.170990,0.543500,0.573900,0.549591,0.271780,0.518820,0.489723,0.528357,0.518813,1.705791
6,0.001966,0.176609,0.535000,2.387272,0.517000,0.611037,0.803272,0.057786,0.504775,0.062733,0.555983,0.514193,1.687542
7,0.001951,0.216834,0.534444,0.434227,0.516000,0.602625,0.780368,0.128954,0.512640,0.154895,0.595042,0.527683,1.717466
8,0.001934,0.182932,0.500556,0.173639,0.501500,0.470701,0.817178,0.000000,0.499438,0.000000,0.515232,0.495491,1.785424
9,0.001914,0.175280,0.510000,0.177230,0.451000,0.460119,0.398671,0.265334,0.469101,0.529148,0.465390,0.503881,1.709026
10,0.001891,0.183811,0.531667,0.179827,0.522000,0.561845,0.307464,0.319638,0.532584,0.656624,0.602669,0.508464,1.746737
11,0.001866,0.173248,0.518889,0.184285,0.583000,0.601737,0.531902,0.325575,0.567978,0.589648,0.621215,0.512345,1.677148
12,0.001839,0.168648,0.576111,0.168889,0.613500,0.624410,0.445194,0.341824,0.580337,0.653525,0.659189,0.518961,1.782648
13,0.001809,0.168921,0.595000,0.188590,0.575000,0.638122,0.665644,0.274945,0.545787,0.434022,0.642658,0.496249,1.747452
14,0.001777,0.179800,0.595556,0.185728,0.554000,0.660554,0.298569,0.330732,0.551404,0.679767,0.667886,0.525595,1.777375
15,0.001743,0.172178,0.570556,0.210551,0.530000,0.646234,0.808691,0.051698,0.505899,0.054809,0.620523,0.526390,1.794969
16,0.001707,0.188205,0.536667,0.174282,0.498500,0.529066,0.219018,0.311271,0.512921,0.665638,0.552349,0.528256,1.852839
17,0.001669,0.178034,0.562222,0.202085,0.519500,0.569762,0.709816,0.171145,0.498876,0.247257,0.642293,0.496082,1.799032
18,0.001629,0.199598,0.566667,0.206560,0.500000,0.477130,0.183333,0.308305,0.500281,0.666792,0.508736,0.501552,1.769640
19,0.001588,0.177717,0.568333,0.175834,0.509000,0.527048,0.210327,0.314790,0.516854,0.673500,0.593181,0.508593,1.747304
20,0.001545,0.164413,0.607778,0.167011,0.609000,0.662922,0.437321,0.349758,0.595506,0.672727,0.677465,0.550285,1.741387
21,0.001500,0.160652,0.653889,0.172655,0.605500,0.667139,0.362270,0.346432,0.579494,0.688320,0.704870,0.533135,1.575774
22,0.001454,0.147782,0.695000,0.250015,0.617000,0.703170,0.674131,0.303083,0.567978,0.474008,0.682430,0.542689,1.582065
23,0.001407,0.164622,0.644444,0.206966,0.538500,0.573725,0.274642,0.330123,0.550281,0.685894,0.706138,0.536997,1.593832
24,0.001358,0.167580,0.594444,0.173332,0.518500,0.624356,0.778630,0.114519,0.511236,0.138614,0.706671,0.533893,1.582371
25,0.001309,0.167313,0.651667,0.194909,0.440000,0.331433,0.711043,0.056112,0.453090,0.079433,0.346064,0.475717,1.570735
26,0.001259,0.148292,0.687778,0.413195,0.629000,0.695584,0.663599,0.344622,0.600843,0.549032,0.702686,0.524745,1.594811
27,0.001208,0.150590,0.693889,0.184577,0.688500,0.744325,0.627096,0.386750,0.639045,0.641562,0.751615,0.564274,1.580215
28,0.001156,0.139032,0.712778,0.210884,0.652000,0.746536,0.471268,0.377513,0.631180,0.704878,0.807507,0.652572,1.580103
29,0.001105,0.151002,0.718333,0.225179,0.700500,0.755417,0.542843,0.392445,0.649157,0.698090,0.807788,0.651279,1.614934
30,0.001052,0.135384,0.745556,0.565328,0.658000,0.754323,0.771881,0.368883,0.617978,0.489489,0.777781,0.630322,1.584996
31,0.001000,0.141328,0.750556,0.302318,0.681000,0.771084,0.725460,0.433903,0.667135,0.634598,0.841622,0.713003,1.592921
32,0.000948,0.185244,0.691667,0.251541,0.680500,0.765428,0.721677,0.431970,0.672472,0.639679,0.827317,0.686983,1.591377
33,0.000895,0.121385,0.778889,0.298324,0.695500,0.785844,0.755010,0.440971,0.669944,0.616639,0.846285,0.718621,1.580418
34,0.000844,0.105374,0.807222,0.293736,0.727000,0.780994,0.694581,0.460148,0.709551,0.711173,0.891419,0.771844,1.575148
35,0.000792,0.110003,0.816111,0.319116,0.714000,0.780541,0.701840,0.461993,0.706742,0.705750,0.893118,0.782303,1.615186
