epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.713101,0.663889,0.145043,0.710000,0.770806,0.735915,0.768804,0.744495,0.736892,0.833499,0.827909,1.652785
2,0.001999,0.131621,0.772778,0.158246,0.793500,0.798327,0.775704,0.785450,0.812844,0.782748,0.883303,0.843333,1.642683
3,0.001995,0.140163,0.784444,0.291450,0.816500,0.876489,0.753873,0.751864,0.799541,0.751563,0.905007,0.848851,1.660266
4,0.001988,0.148793,0.772778,0.264791,0.802000,0.916620,0.791197,0.796848,0.827523,0.792952,0.941651,0.906381,1.574741
5,0.001978,0.150334,0.805556,0.177870,0.851000,0.930518,0.851408,0.873425,0.853211,0.848771,0.936304,0.917583,1.597589
6,0.001966,0.091269,0.863333,0.223420,0.876500,0.920006,0.846831,0.859903,0.870183,0.853898,0.969017,0.936677,1.563484
7,0.001951,0.075829,0.884444,0.334177,0.807000,0.950614,0.826408,0.866504,0.796330,0.816680,0.946737,0.924095,1.582489
8,0.001934,0.065715,0.895000,0.477910,0.747500,0.920897,0.801761,0.851803,0.761927,0.794293,0.941861,0.921197,1.609667
9,0.001914,0.052722,0.928889,0.237708,0.846000,0.942228,0.763028,0.763777,0.800459,0.753820,0.959056,0.906877,1.595005
10,0.001891,0.038117,0.944444,0.288903,0.849000,0.954912,0.797535,0.804355,0.833028,0.801093,0.973211,0.925116,1.652660
11,0.001866,0.056507,0.918333,0.232108,0.854500,0.969606,0.830282,0.841134,0.858716,0.836864,0.978506,0.945975,1.669094
12,0.001839,0.028012,0.956111,0.302101,0.871000,0.950042,0.858451,0.871319,0.878899,0.864058,0.978716,0.959716,1.583627
13,0.001809,0.048605,0.929444,0.157697,0.912000,0.966698,0.911620,0.926024,0.916514,0.915033,0.972425,0.965483,1.620734
14,0.001777,0.076772,0.890556,0.165230,0.876000,0.961175,0.887324,0.907834,0.882569,0.884477,0.963932,0.952928,1.584179
15,0.001743,0.020531,0.976111,0.310935,0.835000,0.958382,0.857746,0.889617,0.834404,0.848510,0.963617,0.955632,1.847628
16,0.001707,0.020815,0.967778,0.198331,0.898000,0.955365,0.903521,0.920763,0.903670,0.904632,0.975151,0.965151,1.578467
17,0.001669,0.067405,0.916667,0.154551,0.894000,0.965749,0.844366,0.857969,0.864220,0.847265,0.977824,0.930993,1.588935
18,0.001629,0.025099,0.964444,0.128847,0.922000,0.975994,0.911972,0.926123,0.916972,0.915143,0.975046,0.967966,1.595616
19,0.001588,0.024156,0.973889,0.165516,0.920500,0.967884,0.915845,0.928678,0.925688,0.923150,0.973159,0.967414,1.607597
20,0.001545,0.037706,0.947222,0.186040,0.920000,0.965390,0.910211,0.924757,0.914220,0.912494,0.976619,0.964296,1.572672
21,0.001500,0.023479,0.961111,0.162385,0.889000,0.962899,0.891197,0.907402,0.898165,0.894487,0.979554,0.946527,1.567651
22,0.001454,0.016398,0.973333,0.156465,0.920500,0.973188,0.909859,0.922984,0.917890,0.913984,0.973316,0.969566,1.571053
23,0.001407,0.012927,0.978889,0.173083,0.911000,0.968883,0.908803,0.925339,0.906881,0.907937,0.976304,0.963855,1.595122
24,0.001358,0.009912,0.985000,0.158035,0.918000,0.973034,0.915845,0.930825,0.913303,0.913501,0.976409,0.970421,1.574792
25,0.001309,0.006317,0.989444,0.207361,0.905000,0.965620,0.911972,0.926254,0.914679,0.912840,0.972739,0.970146,1.569794
26,0.001259,0.007099,0.988333,0.188073,0.924500,0.969261,0.914789,0.929157,0.916514,0.915584,0.970799,0.970173,1.605774
27,0.001208,0.019575,0.975000,0.517157,0.810500,0.943565,0.857746,0.892036,0.827523,0.846531,0.971376,0.969594,1.633124
28,0.001156,0.018089,0.968889,0.213568,0.920000,0.966349,0.918310,0.931644,0.923853,0.922430,0.981284,0.972601,1.592107
29,0.001105,0.006253,0.992778,0.244640,0.910000,0.966200,0.914085,0.926061,0.924771,0.920388,0.977982,0.971801,1.568429
30,0.001052,0.005794,0.992778,0.244718,0.907000,0.958116,0.910211,0.925851,0.909633,0.909508,0.974679,0.968518,1.574987
31,0.001000,0.006419,0.991111,0.226241,0.925000,0.971625,0.906690,0.919526,0.918349,0.913592,0.982752,0.972877,1.557562
32,0.000948,0.008888,0.985556,0.242191,0.917000,0.961648,0.919366,0.932027,0.927064,0.924965,0.972425,0.971001,1.622340
