epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,1.398903,0.624771,0.169755,0.681967,0.724321,0.645223,0.618232,0.679825,0.711918,0.836667,0.702678,1.027503
2,0.001999,0.119179,0.802752,0.283336,0.643443,0.755219,0.676433,0.666667,0.731579,0.768533,0.889825,0.791320,1.096164
3,0.001995,0.073447,0.884404,0.184602,0.714754,0.840634,0.796815,0.747826,0.801754,0.807167,0.912281,0.861496,0.958589
4,0.001988,0.073804,0.904587,0.162095,0.775410,0.894260,0.850955,0.797227,0.839474,0.834089,0.925263,0.834718,0.973388
5,0.001978,0.043327,0.954128,0.351043,0.766393,0.817240,0.861783,0.812121,0.857018,0.851953,0.930000,0.875346,0.949058
6,0.001966,0.032208,0.950459,0.291574,0.740984,0.864006,0.821656,0.752212,0.803509,0.791434,0.914211,0.821791,0.931685
7,0.001951,0.034198,0.964220,0.409008,0.795082,0.900349,0.903822,0.860572,0.891228,0.882576,0.938070,0.917821,0.944127
8,0.001934,0.043351,0.955963,0.369050,0.842623,0.935254,0.808917,0.767442,0.823684,0.831234,0.926842,0.878116,0.996717
9,0.001914,0.030258,0.963303,0.614864,0.677049,0.798250,0.824204,0.750452,0.800000,0.784499,0.885263,0.802401,0.948399
10,0.001891,0.076788,0.915596,0.140110,0.788525,0.830231,0.889172,0.830739,0.857895,0.840551,0.931754,0.890120,0.956100
11,0.001866,0.017646,0.983486,0.792465,0.726229,0.846227,0.871338,0.795960,0.831579,0.804082,0.933333,0.884580,0.959326
12,0.001839,0.038368,0.958716,0.430412,0.755738,0.835157,0.872611,0.798793,0.835965,0.809378,0.935439,0.863343,0.966462
13,0.001809,0.031421,0.963303,0.359624,0.797541,0.890599,0.892994,0.847273,0.877193,0.869403,0.957895,0.910434,1.007961
14,0.001777,0.028464,0.963303,0.873030,0.668033,0.668355,0.821019,0.700745,0.770175,0.715217,0.880526,0.796861,1.118339
15,0.001743,0.024242,0.969725,0.743024,0.703279,0.752618,0.822293,0.686164,0.763158,0.693182,0.923509,0.855956,0.988819
16,0.001707,0.022878,0.970642,0.763403,0.671311,0.705572,0.827389,0.702525,0.769298,0.708749,0.890351,0.835642,0.986825
17,0.001669,0.020701,0.974312,0.332196,0.853279,0.913862,0.891083,0.830861,0.857895,0.838323,0.962105,0.903970,0.979855
18,0.001629,0.015340,0.982569,0.435734,0.806557,0.897909,0.873885,0.808140,0.845614,0.825743,0.931930,0.879040,0.956190
19,0.001588,0.008787,0.985321,0.633255,0.675410,0.846668,0.863057,0.770544,0.814035,0.773019,0.936667,0.905817,1.007182
20,0.001545,0.008902,0.987156,0.489007,0.774590,0.847334,0.869427,0.791455,0.831579,0.802062,0.937193,0.890120,1.019127
21,0.001500,0.010027,0.989908,0.294115,0.859836,0.905778,0.889172,0.842105,0.873684,0.865672,0.942632,0.898430,1.200480
22,0.001454,0.014447,0.978899,0.463099,0.788525,0.849790,0.895541,0.837945,0.862281,0.843781,0.939298,0.913204,1.134612
23,0.001407,0.016145,0.981651,0.655453,0.754098,0.748508,0.845223,0.740662,0.796491,0.749460,0.881228,0.835642,1.066459
24,0.001358,0.005589,0.993578,0.477219,0.799180,0.837216,0.888535,0.826216,0.856140,0.835341,0.926667,0.889197,1.002684
25,0.001309,0.009259,0.988991,0.683665,0.772131,0.855880,0.858599,0.765328,0.810526,0.770213,0.929123,0.870729,1.043995
26,0.001259,0.015069,0.984404,0.508875,0.733607,0.912483,0.875796,0.801223,0.835088,0.806982,0.931579,0.889197,1.090473
27,0.001208,0.015238,0.976147,0.582897,0.783607,0.797065,0.887261,0.824579,0.854386,0.833667,0.927368,0.900277,1.022946
28,0.001156,0.007148,0.988073,0.458523,0.810656,0.871002,0.884713,0.825794,0.857018,0.840353,0.952281,0.895660,1.000352
29,0.001105,0.020310,0.980734,0.564185,0.736885,0.868057,0.884713,0.821675,0.851754,0.831505,0.944912,0.901200,1.104340
30,0.001052,0.008816,0.988073,0.628631,0.721311,0.845042,0.878344,0.812929,0.847368,0.826693,0.923509,0.879963,1.075111
31,0.001000,0.007757,0.990826,0.776633,0.659016,0.786587,0.854777,0.755889,0.805263,0.760776,0.924561,0.877193,1.039640
32,0.000948,0.005449,0.992661,0.527733,0.824590,0.894136,0.862420,0.816014,0.857018,0.854594,0.942632,0.906741,1.022735
33,0.000895,0.006093,0.992661,0.436437,0.820492,0.872107,0.886624,0.823413,0.854386,0.833333,0.940000,0.889197,1.032966
34,0.000844,0.002892,0.997248,0.504134,0.796721,0.872018,0.886624,0.824803,0.856140,0.836327,0.934737,0.894737,0.990004
35,0.000792,0.001467,1.000000,0.540087,0.784426,0.875727,0.884713,0.819181,0.850000,0.827447,0.932281,0.894737,1.052995
36,0.000741,0.002797,0.996330,0.480640,0.840984,0.910664,0.886624,0.830476,0.861404,0.846602,0.943158,0.889197,1.035954
37,0.000691,0.003491,0.994495,0.545987,0.790984,0.885077,0.871975,0.797583,0.835965,0.808989,0.932105,0.881810,0.968838
38,0.000642,0.004836,0.994495,0.733032,0.709016,0.857369,0.849682,0.748936,0.802632,0.757804,0.919298,0.869806,0.964547
39,0.000593,0.003140,0.997248,0.478040,0.801639,0.903053,0.873885,0.800403,0.838596,0.811861,0.931404,0.877193,0.967450
40,0.000546,0.003592,0.994495,0.711699,0.713115,0.912798,0.848408,0.744086,0.798246,0.750542,0.905263,0.875346,0.976440
41,0.000500,0.002015,0.998165,0.669869,0.783607,0.899562,0.882803,0.815261,0.848246,0.824365,0.921053,0.885503,0.963029
42,0.000455,0.002148,0.998165,0.612770,0.768033,0.910814,0.867516,0.785124,0.826316,0.793319,0.925439,0.879963,0.954757
43,0.000412,0.002054,0.999083,0.473051,0.854098,0.923555,0.892357,0.834151,0.863158,0.844930,0.932632,0.894737,0.975092
44,0.000371,0.000436,1.000000,0.484195,0.856557,0.929465,0.885350,0.820717,0.852632,0.830645,0.930000,0.884580,0.954561
45,0.000331,0.000851,1.000000,0.474632,0.810656,0.936410,0.879618,0.810431,0.844737,0.820305,0.922807,0.879963,1.004392
46,0.000293,0.000742,1.000000,0.530827,0.810656,0.932714,0.876433,0.802846,0.838596,0.811088,0.924035,0.883657,1.039148
47,0.000257,0.000379,1.000000,0.512898,0.816393,0.936275,0.877070,0.804853,0.840351,0.813906,0.925088,0.879040,1.180875
48,0.000223,0.000492,1.000000,0.517623,0.820492,0.936708,0.880892,0.811682,0.844737,0.819939,0.925965,0.880886,1.126572
49,0.000191,0.000528,0.999083,0.518618,0.803279,0.944324,0.878344,0.806876,0.841228,0.815117,0.925088,0.883657,1.011082
50,0.000161,0.000419,1.000000,0.518764,0.795902,0.945657,0.874522,0.799593,0.837719,0.809475,0.927544,0.885503,0.956884
51,0.000134,0.000421,1.000000,0.557206,0.786885,0.947751,0.866242,0.783058,0.825439,0.792059,0.929123,0.879963,0.942034
52,0.000109,0.001015,0.998165,0.521283,0.809836,0.945031,0.877070,0.805247,0.841228,0.815117,0.929474,0.876270,0.946419
53,0.000086,0.000434,1.000000,0.521995,0.797541,0.941905,0.880892,0.812060,0.846491,0.821974,0.932982,0.877193,0.956812
54,0.000066,0.000345,1.000000,0.530012,0.786885,0.941938,0.880255,0.810865,0.845614,0.820774,0.929649,0.878116,0.956116
55,0.000049,0.000471,1.000000,0.537263,0.779508,0.943126,0.876433,0.803245,0.840351,0.813142,0.931579,0.876270,0.967247
56,0.000034,0.000655,0.999083,0.507764,0.813934,0.942120,0.884713,0.819181,0.851754,0.829120,0.929123,0.879963,0.985265
57,0.000022,0.000474,1.000000,0.521836,0.790164,0.942650,0.877707,0.806061,0.842105,0.815951,0.930000,0.878116,0.973741
58,0.000012,0.000319,1.000000,0.520018,0.796721,0.943652,0.878344,0.807265,0.842982,0.817160,0.928947,0.878116,0.986766
59,0.000005,0.000440,1.000000,0.524138,0.790164,0.943037,0.877070,0.804853,0.841228,0.814739,0.929123,0.877193,1.043192
60,0.000001,0.000379,1.000000,0.522136,0.783607,0.943515,0.877070,0.804458,0.841228,0.814359,0.928246,0.877193,1.020081
