epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.815412,0.692308,0.256517,0.782474,0.856405,0.777249,0.773046,0.776966,0.783179,0.893258,0.653459,1.563403
2,0.001999,0.089287,0.884041,0.194843,0.808763,0.876585,0.789947,0.782704,0.792135,0.794444,0.916180,0.693672,1.489005
3,0.001995,0.099010,0.865098,0.148125,0.821649,0.890605,0.802646,0.769611,0.800000,0.777778,0.945730,0.794205,1.499118
4,0.001988,0.097838,0.857061,0.170368,0.811340,0.874671,0.812698,0.774809,0.807303,0.780269,0.943258,0.781195,1.516118
5,0.001978,0.046920,0.945465,0.184783,0.889175,0.920996,0.847619,0.831972,0.844382,0.837346,0.951461,0.791248,1.537615
6,0.001966,0.065960,0.923077,0.231044,0.865979,0.909690,0.856614,0.838016,0.852809,0.842548,0.956180,0.769367,1.523506
7,0.001951,0.080851,0.900689,0.240932,0.843814,0.929779,0.815344,0.818324,0.819663,0.830428,0.922135,0.658190,1.530372
8,0.001934,0.042640,0.951206,0.461023,0.858763,0.936956,0.832275,0.832364,0.834831,0.842612,0.936742,0.695446,1.521431
9,0.001914,0.050067,0.953502,0.202760,0.893299,0.940766,0.863492,0.850694,0.862360,0.857143,0.954719,0.764045,1.553094
10,0.001891,0.032011,0.962687,0.275708,0.876804,0.920354,0.860847,0.846826,0.856742,0.850790,0.956067,0.782377,1.515491
11,0.001866,0.042218,0.946613,0.289355,0.880928,0.921894,0.850265,0.841457,0.851685,0.850510,0.937640,0.691898,1.581073
12,0.001839,0.038741,0.949483,0.198042,0.889691,0.943698,0.871958,0.857647,0.869663,0.862722,0.960899,0.798936,1.537601
13,0.001809,0.038613,0.947187,0.211345,0.844330,0.900390,0.852381,0.824418,0.845506,0.826498,0.977978,0.884092,1.564464
14,0.001777,0.034224,0.975890,0.217993,0.894330,0.929878,0.859788,0.844392,0.858427,0.850888,0.962921,0.811946,1.515498
15,0.001743,0.024333,0.981056,0.326918,0.801031,0.903575,0.813757,0.760870,0.803371,0.761905,0.979888,0.920757,1.554248
16,0.001707,0.018763,0.985075,0.169907,0.893299,0.951043,0.862434,0.840881,0.858427,0.845018,0.972809,0.859255,1.509189
17,0.001669,0.017099,0.987371,0.279535,0.884536,0.923332,0.863492,0.846062,0.860674,0.851140,0.960112,0.793613,1.554116
18,0.001629,0.018958,0.980482,0.283777,0.900515,0.955715,0.859259,0.849206,0.857303,0.855023,0.958427,0.790656,1.517866
19,0.001588,0.017370,0.979334,0.290229,0.860309,0.899346,0.861905,0.835952,0.855618,0.838059,0.978652,0.889415,1.555096
20,0.001545,0.017687,0.982778,0.330887,0.878866,0.912414,0.870899,0.850307,0.865730,0.852923,0.974607,0.882910,1.530508
21,0.001500,0.015637,0.986223,0.361263,0.874742,0.924547,0.862963,0.841396,0.858427,0.845018,0.967528,0.845653,1.558132
22,0.001454,0.015600,0.985075,0.351897,0.808763,0.892328,0.822751,0.773189,0.812921,0.774237,0.980899,0.928445,1.562251
23,0.001407,0.009272,0.986797,0.218265,0.861340,0.903811,0.857143,0.826701,0.849438,0.827763,0.979775,0.942046,1.515354
24,0.001358,0.037368,0.957520,0.271140,0.848969,0.918391,0.846561,0.813385,0.839326,0.815484,0.985169,0.921940,1.491422
25,0.001309,0.029243,0.978760,0.261440,0.880412,0.931472,0.861376,0.834805,0.854494,0.836387,0.981348,0.916617,1.596858
26,0.001259,0.011720,0.989093,0.360551,0.852062,0.916252,0.858730,0.830906,0.852809,0.833545,0.983708,0.916026,1.520483
27,0.001208,0.015908,0.990815,0.319885,0.874227,0.919339,0.865079,0.841121,0.859551,0.843750,0.974607,0.884092,1.527188
28,0.001156,0.009319,0.991963,0.251471,0.896907,0.967271,0.883598,0.870130,0.881461,0.874777,0.968876,0.850976,1.578581
29,0.001105,0.011446,0.990241,0.350703,0.877835,0.929246,0.868254,0.848999,0.864607,0.853138,0.970449,0.855115,1.584433
30,0.001052,0.006692,0.991963,0.349677,0.854639,0.900195,0.858201,0.829082,0.851685,0.831202,0.983483,0.926671,1.589076
31,0.001000,0.005245,0.994834,0.413378,0.830928,0.911209,0.843386,0.805007,0.835393,0.806601,0.986404,0.945003,1.707256
32,0.000948,0.011581,0.990241,0.265279,0.905670,0.937722,0.875661,0.860864,0.874157,0.866508,0.971461,0.860438,1.621241
33,0.000895,0.008442,0.992537,0.282533,0.903093,0.943975,0.876190,0.859712,0.874157,0.864897,0.974944,0.885275,1.668626
