epoch,lr,train_loss,train_acc,val_loss,val_acc,val_auc,test_seg_acc,test_seg_f1,test_acc_bal,test_f1_bal,test_auc,test_pauc,epoch_sec
1,0.002000,0.812254,0.548005,0.175362,0.467416,0.484727,0.570625,0.382749,0.527500,0.429003,0.593833,0.535088,1.784789
2,0.001999,0.169319,0.590399,0.225306,0.488202,0.577442,0.616250,0.202597,0.520000,0.213115,0.705167,0.538596,1.799539
3,0.001995,0.189211,0.591022,0.168154,0.593820,0.696658,0.625625,0.329227,0.555000,0.355072,0.702333,0.600000,1.595010
4,0.001988,0.182355,0.526808,0.181823,0.483146,0.469904,0.631250,0.180556,0.528333,0.186782,0.543167,0.539474,1.410259
5,0.001978,0.181286,0.602868,0.231864,0.575843,0.604746,0.466875,0.550816,0.540833,0.654978,0.696500,0.625439,1.500804
6,0.001966,0.143288,0.692643,0.204487,0.674157,0.734228,0.623750,0.604987,0.653333,0.689088,0.824667,0.661404,1.639642
7,0.001951,0.133025,0.752494,0.254402,0.557303,0.596450,0.540625,0.575880,0.604167,0.677529,0.714667,0.570175,1.847773
8,0.001934,0.114331,0.799252,0.367953,0.674719,0.753574,0.636250,0.633501,0.674167,0.720115,0.905667,0.745614,1.843605
9,0.001914,0.086852,0.870948,0.648063,0.686517,0.735840,0.645625,0.625743,0.670833,0.705882,0.885500,0.805263,1.534149
10,0.001891,0.096692,0.877805,0.512238,0.723034,0.799445,0.655625,0.648373,0.691667,0.733045,0.907833,0.804386,1.575264
11,0.001866,0.058234,0.937656,0.698590,0.698876,0.758310,0.645000,0.616734,0.661667,0.692424,0.865667,0.804386,1.510275
12,0.001839,0.062668,0.928304,0.877764,0.734831,0.795454,0.658125,0.630655,0.675000,0.705438,0.854833,0.794737,1.443808
13,0.001809,0.039340,0.952618,0.733015,0.689326,0.763317,0.658750,0.660870,0.699167,0.746667,0.917833,0.796491,1.402433
14,0.001777,0.049073,0.956983,0.477394,0.748876,0.781324,0.664375,0.658180,0.699167,0.741219,0.930333,0.807018,1.386728
15,0.001743,0.032419,0.966958,0.839791,0.731461,0.813686,0.674375,0.664088,0.704167,0.743682,0.925000,0.935088,1.381244
16,0.001707,0.026675,0.971945,0.683584,0.756742,0.817776,0.684375,0.671438,0.714167,0.750545,0.931333,0.908772,1.387872
17,0.001669,0.019772,0.980050,0.974920,0.744382,0.792445,0.683125,0.669707,0.710833,0.747636,0.938167,0.912281,1.406724
18,0.001629,0.019827,0.983167,1.449665,0.747753,0.800348,0.678125,0.645072,0.691667,0.716692,0.878000,0.883333,1.431195
19,0.001588,0.027662,0.971322,0.717853,0.733708,0.787613,0.680625,0.682806,0.718333,0.764951,0.965667,0.934211,1.421327
20,0.001545,0.059859,0.937656,1.168373,0.743820,0.772931,0.692500,0.659751,0.706667,0.730475,0.927000,0.928070,1.393058
21,0.001500,0.015070,0.986284,0.715886,0.758989,0.782010,0.676875,0.656021,0.695833,0.729830,0.923833,0.893860,1.402304
22,0.001454,0.014253,0.989401,1.059027,0.750562,0.799302,0.695625,0.684790,0.725000,0.762248,0.949667,0.938596,1.451226
23,0.001407,0.013271,0.989401,0.682025,0.715169,0.782065,0.658125,0.672259,0.704167,0.759648,0.962167,0.915789,1.413908
24,0.001358,0.017208,0.982544,1.115406,0.765730,0.796844,0.687500,0.660787,0.704167,0.732882,0.911167,0.915789,1.392416
25,0.001309,0.006341,0.996259,0.815819,0.762921,0.801385,0.698750,0.687824,0.729167,0.765681,0.959167,0.947368,1.438879
26,0.001259,0.007646,0.993766,0.785631,0.745506,0.803688,0.687500,0.685139,0.720833,0.764582,0.954000,0.950877,1.392854
27,0.001208,0.012015,0.983791,0.895346,0.764607,0.803431,0.691875,0.675871,0.715833,0.750913,0.941000,0.929825,1.607198
28,0.001156,0.007243,0.995012,1.043322,0.756742,0.801997,0.694375,0.680601,0.721667,0.757267,0.928667,0.929825,1.458292
29,0.001105,0.009109,0.991272,1.235412,0.768539,0.805768,0.699375,0.681246,0.724167,0.756439,0.929167,0.929825,1.718306
30,0.001052,0.011344,0.991895,1.220304,0.757865,0.795872,0.684375,0.666667,0.710000,0.743741,0.915833,0.910526,1.461992
31,0.001000,0.006278,0.995012,1.256796,0.757865,0.809269,0.702500,0.688482,0.730000,0.764535,0.942833,0.934211,1.383391
32,0.000948,0.007035,0.993766,0.876649,0.756742,0.806280,0.688750,0.679124,0.723333,0.760462,0.943000,0.919298,1.414301
33,0.000895,0.005972,0.995636,0.933442,0.769101,0.793885,0.700625,0.682571,0.725000,0.757353,0.937000,0.922807,1.395732
34,0.000844,0.003950,0.996883,0.982783,0.753933,0.794737,0.691250,0.669786,0.712500,0.743875,0.928000,0.906140,1.396329
35,0.000792,0.003212,0.998130,0.951208,0.762360,0.800561,0.694375,0.677653,0.720000,0.753666,0.934667,0.915789,1.386351
36,0.000741,0.005540,0.997506,0.888622,0.748876,0.810596,0.698750,0.674764,0.719167,0.747943,0.930333,0.908772,1.394161
37,0.000691,0.004311,0.996259,0.723124,0.765730,0.827228,0.694375,0.687939,0.727500,0.767260,0.956667,0.935965,1.385036
38,0.000642,0.006275,0.993766,0.938816,0.753933,0.829455,0.700000,0.693095,0.733333,0.772080,0.957333,0.945614,1.386945
39,0.000593,0.002712,0.998130,1.182340,0.766854,0.794837,0.701875,0.680509,0.725000,0.754829,0.930833,0.918421,1.402716
40,0.000546,0.002292,0.999377,0.981888,0.766292,0.822404,0.697500,0.681159,0.724167,0.757509,0.938667,0.919298,1.426434
41,0.000500,0.002481,0.998753,1.020517,0.760112,0.838694,0.702500,0.690104,0.732500,0.767560,0.950500,0.942105,1.401711
42,0.000455,0.003469,0.998130,1.311134,0.771348,0.801034,0.693750,0.667571,0.712500,0.740406,0.910333,0.911404,1.388410
43,0.000412,0.002969,0.997506,1.151646,0.764607,0.813294,0.698750,0.680795,0.725000,0.756996,0.929333,0.912281,1.392008
44,0.000371,0.002982,0.997506,0.951774,0.762360,0.798735,0.694375,0.675514,0.718333,0.750737,0.931000,0.914035,1.559078
45,0.000331,0.002419,0.998130,0.962483,0.762921,0.806456,0.695000,0.675963,0.720833,0.752402,0.929833,0.925439,1.675915
46,0.000293,0.003271,0.996259,1.135665,0.774719,0.817511,0.690625,0.664407,0.710000,0.737952,0.914500,0.910526,1.634180
47,0.000257,0.004441,0.996883,1.059819,0.760674,0.797449,0.703750,0.690196,0.732500,0.766885,0.942000,0.927193,1.434344
48,0.000223,0.001897,0.998753,1.078591,0.765169,0.811180,0.699375,0.681668,0.724167,0.756796,0.928500,0.912281,1.392731
49,0.000191,0.002232,0.999377,0.983905,0.760112,0.798821,0.705000,0.689065,0.731667,0.764620,0.943833,0.917544,1.455694
50,0.000161,0.001501,1.000000,1.042501,0.761236,0.788943,0.703750,0.687747,0.731667,0.764275,0.938500,0.919298,1.403037
51,0.000134,0.001808,0.998753,1.006666,0.759551,0.796603,0.701875,0.685564,0.726667,0.760234,0.944833,0.919298,1.400028
52,0.000109,0.001323,0.998753,1.244846,0.760112,0.774838,0.698125,0.676923,0.720000,0.750742,0.929667,0.912281,1.401534
53,0.000086,0.001601,0.999377,1.131493,0.763483,0.782894,0.696875,0.678595,0.719167,0.752388,0.933500,0.910526,1.439206
54,0.000066,0.002064,0.998130,1.024665,0.765169,0.799010,0.701250,0.682603,0.725833,0.757553,0.937667,0.900000,1.404906
55,0.000049,0.001639,0.998130,1.053012,0.767416,0.800039,0.700625,0.679169,0.723333,0.753343,0.929500,0.889474,1.428604
56,0.000034,0.001498,1.000000,1.081347,0.752247,0.796784,0.697500,0.675603,0.719167,0.749442,0.926000,0.887719,1.475632
57,0.000022,0.001465,0.999377,1.091356,0.749438,0.793385,0.694375,0.670263,0.714167,0.743455,0.922833,0.885965,1.406709
58,0.000012,0.001398,1.000000,1.067718,0.759551,0.790567,0.699375,0.677398,0.720833,0.750929,0.927500,0.892982,1.424219
59,0.000005,0.001203,1.000000,1.084666,0.753933,0.790525,0.696875,0.674278,0.718333,0.748137,0.928167,0.890351,1.429193
60,0.000001,0.001620,0.998130,1.072236,0.753371,0.792644,0.698750,0.676944,0.720833,0.750929,0.929167,0.895614,1.436866
