unit,n_seg,T,spk_diff_L1,spk_diff_L2,spk_diff_L3,spk_diff_L4,spk_total,div_seg,div_margin_max,mem_max_abs_diff,mem_mean_max_abs_diff,pred_diff,auc_torch_cpu,auc_numpy,auc_results_csv
fan_id01,2630,31,0,0,0,0,57560180,0,0.0,1.33514404296875e-05,9.5367431640625e-06,0,0.984847,0.984847,0.9848
fan_id02,2800,31,0,0,0,0,61280800,0,0.0,7.62939453125e-06,9.5367431640625e-06,0,0.971167,0.971167,0.9712
fan_id03,2790,31,0,0,0,0,61061940,0,0.0,1.33514404296875e-05,8.58306884765625e-06,0,0.985922,0.985922,0.9859
fan_id04,2740,31,0,1,0,0,59967640,1,1.0132789611816406e-06,5.7220458984375e-06,3.0994415283203125e-06,0,0.978276,0.978276,0.9783
fan_id05,2840,31,0,0,0,0,62156240,0,0.0,9.5367431640625e-06,7.62939453125e-06,0,0.975885,0.975885,0.9759
fan_id06,2810,31,0,0,0,0,61499660,0,0.0,1.52587890625e-05,9.5367431640625e-06,0,0.999171,0.999171,0.9992
pump_id00,1720,31,6,15,6,4,37643920,1,1.1920928955078125e-07,0.9340436458587646,0.02285170555114746,0,0.884861,0.884861,0.8849
pump_id01,1580,31,0,0,0,0,34579880,0,0.0,1.1444091796875e-05,7.62939453125e-06,0,0.93431,0.93431,0.9343
pump_id02,1560,31,0,0,0,0,34142160,0,0.0,1.33514404296875e-05,8.58306884765625e-06,0,0.990893,0.990893,0.9909
pump_id03,1570,31,0,0,0,0,34361020,0,0.0,7.62939453125e-06,5.7220458984375e-06,0,0.928246,0.928246,0.9282
pump_id04,1500,31,0,0,0,0,32829000,0,0.0,1.1444091796875e-05,8.58306884765625e-06,0,1.0,1.0,1.0
pump_id05,2240,31,0,0,0,0,49024640,0,0.0,7.3909759521484375e-06,6.198883056640625e-06,0,0.970887,0.970887,0.9709
pump_id06,1510,31,0,0,0,0,33047860,0,0.0,1.33514404296875e-05,9.5367431640625e-06,0,0.924706,0.924706,0.9247
slider_id00,2780,31,0,0,0,0,60843080,0,0.0,1.33514404296875e-05,7.62939453125e-06,0,0.997921,0.997921,0.9979
slider_id01,1890,31,0,0,0,0,41364540,0,0.0,1.1444091796875e-05,8.106231689453125e-06,0,0.986067,0.986067,0.9861
slider_id02,2340,31,0,1,4,0,51213240,1,2.086162567138672e-07,1.5004501342773438,0.41860389709472656,0,0.939701,0.939701,0.9397
slider_id03,1890,31,0,0,0,0,41364540,0,0.0,1.52587890625e-05,1.33514404296875e-05,0,0.925506,0.925506,0.9255
