unit,n_seg,n_file,fp_auc,int8_auc,d_auc,fp_pauc,int8_pauc,d_pauc,fp_f1_bal,int8_f1_bal,d_f1_bal,fp_acc_bal,int8_acc_bal,d_acc_bal,pred_agree,spk_mis_L1,acc_max_L1,mem_max_L1,sat_L1,vth_min_L1,vth_max_L1,beta_min_L1,beta_max_L1,scale_L1,spk_mis_L2,acc_max_L2,mem_max_L2,sat_L2,vth_min_L2,vth_max_L2,beta_min_L2,beta_max_L2,scale_L2,spk_mis_L3,acc_max_L3,mem_max_L3,sat_L3,vth_min_L3,vth_max_L3,beta_min_L3,beta_max_L3,scale_L3,spk_mis_L4,acc_max_L4,mem_max_L4,sat_L4,vth_min_L4,vth_max_L4,beta_min_L4,beta_max_L4,scale_L4
fan_id01,2630,263,0.984847,0.985644,0.000798,0.97546,0.9732,-0.00226,0.923398,0.913775,-0.009623,0.9265,0.918,-0.0085,0.978707,0.074913,45906,2889,0,8,90,151,240,0.012051648042333407,0.023875,1050,6439,0,10,102,151,239,0.010258007237291712,0.016243,1027,9955,0,8,87,168,240,0.012561195478664609,0.013731,348,1269,0,47,48,214,216,0.021480000863863726
fan_id02,2800,280,0.971167,0.969111,-0.002056,0.931579,0.930409,-0.00117,0.886762,0.892275,0.005513,0.8935,0.8975,0.004,0.969286,0.06328,44624,1943,0,8,90,148,242,0.011849312331732802,0.020833,1025,6363,0,10,109,148,241,0.00953107274423434,0.013926,850,8092,0,7,73,169,242,0.013992024218942236,0.047725,247,869,0,45,47,220,222,0.02136356624092643
fan_id03,2790,279,0.985922,0.986201,0.000279,0.958248,0.957365,-0.000882,0.924567,0.93028,0.005713,0.926,0.9315,0.0055,0.97957,0.073277,50951,2694,0,8,90,156,241,0.01202944226152315,0.023192,1080,5770,0,10,110,151,244,0.009554617986904355,0.017403,1242,13441,0,10,106,170,240,0.010365473003838006,0.030443,175,997,0,45,46,217,221,0.021620132791714406
fan_id04,2740,274,0.978276,0.969195,-0.00908,0.938294,0.924985,-0.013309,0.819224,0.822839,0.003614,0.8345,0.834,-0.0005,0.944526,0.072111,43636,2277,0,9,91,152,242,0.011716531017633874,0.029955,1033,6212,0,10,112,146,241,0.009601941258888545,0.012602,1274,13813,0,9,100,171,243,0.010535001754760742,0.199199,267,696,0,41,52,212,221,0.021378487113892564
fan_id05,2840,284,0.975885,0.973211,-0.002674,0.969318,0.968242,-0.001076,0.930189,0.925612,-0.004577,0.93211,0.927523,-0.004587,0.984507,0.070803,45878,2694,0,8,88,143,242,0.01216026272360734,0.025758,1178,5523,0,11,109,142,241,0.009442354750445508,0.008502,1286,14225,0,9,94,144,240,0.01059294591738483,0.002675,258,1537,0,41,51,218,218,0.021453130902267817
fan_id06,2810,281,0.999171,0.999171,0.0,0.995638,0.995638,0.0,0.977688,0.97771,2.3e-05,0.978,0.978,0.0,0.994662,0.072185,42616,2446,0,8,85,155,241,0.012440056312741258,0.031266,1052,5185,0,11,116,152,236,0.009118055734108753,0.014986,1122,8788,0,9,95,149,240,0.010850663260212095,0.023901,277,1350,0,44,54,217,219,0.021444245586245077
pump_id00,1720,172,0.884861,0.888194,0.003333,0.880848,0.883041,0.002193,0.772689,0.782895,0.010205,0.810417,0.816667,0.00625,0.977326,0.063183,47156,2475,0,9,99,154,241,0.010825376810989981,0.021023,1120,7553,0,10,110,154,241,0.009669877412750966,0.007143,1047,10234,0,7,79,175,241,0.0134168347035806,0.021352,209,843,0,47,50,216,220,0.021476743728157104
pump_id01,1580,158,0.93431,0.938103,0.003793,0.885662,0.889292,0.00363,0.800805,0.824803,0.023998,0.82931,0.846552,0.017241,0.976582,0.06492,53283,3098,0,9,101,154,241,0.010561041944608914,0.016935,1027,7098,0,10,106,154,245,0.009639012531971369,0.006425,1216,10141,0,10,106,168,240,0.010272797637098418,0.004379,303,1210,0,48,48,214,218,0.02133695910296102
pump_id02,1560,156,0.990893,0.991429,0.000536,0.973684,0.976504,0.00282,0.935454,0.93779,0.002336,0.938393,0.940179,0.001786,0.987821,0.071148,39396,1947,0,8,86,153,242,0.012264614030132143,0.028028,1055,5430,0,11,109,163,241,0.009519574210399718,0.010656,1212,11609,0,9,104,164,238,0.010697132959140567,0.105604,340,933,0,48,53,211,217,0.02068569716506117
pump_id03,1570,157,0.928246,0.926842,-0.001404,0.877193,0.877193,0.0,0.814359,0.79668,-0.017678,0.841228,0.82807,-0.013158,0.982166,0.067783,45779,3537,0,8,88,167,243,0.012073554391936055,0.033588,1099,8656,0,10,108,176,242,0.009621546963068444,0.012539,1371,11692,0,10,108,173,241,0.009958625778438538,0.048767,407,1476,0,48,49,215,217,0.02054379117770458
pump_id04,1500,150,1.0,1.0,0.0,1.0,1.0,0.0,0.98167,0.977505,-0.004165,0.982,0.978,-0.004,0.996667,0.075303,54833,2161,0,9,89,163,240,0.011538833145081527,0.028914,1024,5098,0,10,107,167,238,0.009558417665676808,0.0103,1177,10663,0,10,102,166,240,0.010204216626685435,0.088516,359,794,0,48,50,215,215,0.021323311047291193
pump_id05,2240,224,0.970887,0.959677,-0.01121,0.898132,0.902801,0.004669,0.866883,0.866775,-0.000108,0.877,0.8775,0.0005,0.985268,0.0747,54822,3028,0,9,95,155,241,0.011309367465221976,0.019411,1123,7081,0,10,110,160,242,0.009544737695708988,0.009064,1291,13416,0,9,105,165,240,0.010532539660536399,0.051822,288,1005,0,45,47,215,216,0.02132381792143574
pump_id06,1510,151,0.924706,0.926078,0.001373,0.869969,0.876161,0.006192,0.771889,0.777393,0.005504,0.805882,0.810784,0.004902,0.982119,0.07602,42134,2253,0,9,93,156,241,0.011456148830924447,0.020522,1121,7060,0,10,107,142,242,0.009589849494573638,0.010803,1098,11036,0,10,103,171,241,0.010404558632317491,0.057381,386,1069,0,44,47,217,221,0.021425740925345833
slider_id00,2780,278,0.997921,0.997921,-0.0,0.996452,0.996156,-0.000296,0.941115,0.942902,0.001787,0.944,0.9455,0.0015,0.990647,0.059173,47178,2475,0,9,93,154,239,0.011761303961746336,0.018713,1059,4427,0,11,110,147,237,0.009361994548106756,0.005248,1148,9903,0,10,100,146,240,0.010289473796454002,0.051642,288,1541,0,46,48,216,217,0.02143430334376538
slider_id01,1890,189,0.986067,0.990112,0.004045,0.936724,0.95683,0.020106,0.860162,0.846056,-0.014106,0.873596,0.864045,-0.009551,0.977778,0.065396,50659,2304,0,9,94,149,241,0.011233314754456047,0.024389,981,5855,0,11,112,142,241,0.009455427410095696,0.007287,1262,11072,0,10,102,171,241,0.010032038989029532,0.087011,335,1733,0,45,46,217,222,0.021288507566677304
slider_id02,2340,234,0.939701,0.938731,-0.00097,0.867636,0.857816,-0.009819,0.831314,0.822507,-0.008807,0.819,0.806,-0.013,0.972222,0.05971,49910,2656,0,8,90,151,241,0.011778191318662147,0.024384,968,4429,0,10,111,149,238,0.009537327007984552,0.01866,1164,11293,0,9,102,167,241,0.010688894376980038,0.149221,373,2951,0,45,46,219,226,0.021407726242786317
slider_id03,1890,189,0.925506,0.927079,0.001573,0.901833,0.910112,0.008279,0.766798,0.714989,-0.051809,0.801124,0.772472,-0.028652,0.94709,0.053895,53792,2838,0,9,95,151,241,0.011181352645393432,0.023712,1056,7251,0,11,108,141,238,0.009515555824820452,0.015766,1056,9555,0,8,87,170,241,0.012244308088708111,0.050009,356,1609,0,42,44,214,217,0.021316094661322164
slider_id04,1890,189,1.0,1.0,0.0,1.0,1.0,0.0,0.939039,0.939518,0.00048,0.941573,0.942135,0.000562,0.987831,0.065104,47505,3059,0,8,88,169,243,0.012049484440660852,0.021736,1109,7816,0,10,106,175,240,0.00959749390759806,0.008929,1172,11477,0,9,93,178,242,0.010792295763811728,0.052372,326,1579,0,46,48,218,221,0.02149677839804822
slider_id05,1890,189,0.989326,0.988652,-0.000674,0.955648,0.951508,-0.00414,0.884337,0.878386,-0.005951,0.892135,0.881461,-0.010674,0.943915,0.071325,52460,3318,0,8,89,168,242,0.01196722909221499,0.02273,1181,7183,0,10,112,180,240,0.00983622787505623,0.005767,1131,10390,0,8,85,183,242,0.01218113091986949,0.046604,405,2303,0,45,47,216,226,0.02139063707486851
slider_id06,1450,145,0.998222,0.997778,-0.000444,0.990643,0.988304,-0.002339,0.853567,0.840102,-0.013465,0.87,0.86,-0.01,0.984828,0.062536,52550,3000,0,8,87,170,241,0.011973795928354338,0.022643,1158,6967,0,10,108,181,241,0.00966877918543778,0.008856,1261,13753,0,9,97,184,242,0.010698874165692667,0.030957,370,2206,0,45,47,219,222,0.02146752237334965
valve_id00,1600,160,0.929167,0.938167,0.009,0.895614,0.900877,0.005263,0.750929,0.755193,0.004264,0.720833,0.725,0.004167,0.980625,0.05297,72916,3729,0,9,99,154,240,0.01104027361381711,0.014905,1246,8186,0,11,113,156,240,0.009488115160484013,0.008573,1179,12307,0,9,107,165,241,0.011281323245191198,0.1225,357,3376,0,48,51,213,230,0.021789945016695757
valve_id01,1600,160,0.885833,0.886833,0.001,0.886842,0.879825,-0.007018,0.774938,0.774671,-0.000267,0.7725,0.771667,-0.000833,0.98375,0.053511,54992,2440,0,9,100,148,239,0.011046950272687777,0.012518,1121,5627,0,10,115,158,238,0.009616935347008892,0.014894,1039,10922,0,8,92,166,242,0.012171540673323504,0.04753,490,3984,0,46,48,211,233,0.021524125196802333
valve_id02,1600,160,0.974167,0.976833,0.002667,0.942105,0.935965,-0.00614,0.748231,0.752257,0.004026,0.7925,0.794167,0.001667,0.976875,0.056417,57439,2977,0,8,90,164,241,0.011943016465254657,0.011815,1180,7288,0,10,106,167,243,0.00985928783266563,0.005911,1238,13481,0,9,99,178,242,0.010590308294521542,0.078639,292,1946,0,45,48,225,228,0.021648829377542332
valve_id03,1600,160,0.877,0.876,-0.001,0.880702,0.885088,0.004386,0.773481,0.768504,-0.004977,0.760833,0.755,-0.005833,0.97125,0.055207,60407,3041,0,9,102,158,242,0.011003366605503353,0.014187,1077,7505,0,10,111,147,240,0.00955466585835134,0.009448,932,8899,0,7,79,159,241,0.013526924951808659,0.06251,398,4255,0,43,51,209,237,0.021465667589442936
valve_id04,1600,160,0.928667,0.933,0.004333,0.90614,0.90614,0.0,0.758347,0.772013,0.013666,0.746667,0.758333,0.011667,0.96375,0.053243,57152,2098,0,9,97,151,238,0.011064376418046125,0.008252,1135,6313,0,11,110,151,233,0.009407515600910337,0.012518,1233,10996,0,10,110,178,241,0.010212141697801004,0.145605,530,3104,0,44,50,213,225,0.021614671692134827
valve_id05,3000,300,0.9347,0.9271,-0.0076,0.837632,0.807632,-0.03,0.778082,0.771897,-0.006185,0.757,0.7565,-0.0005,0.940667,0.052304,68192,3153,0,9,98,151,238,0.01131321126081812,0.008473,1160,5712,0,10,111,143,237,0.009699123112235482,0.008961,1130,11835,0,8,87,175,241,0.012047367771779458,0.218565,438,3207,0,42,52,214,229,0.021420993204191913
valve_id06,1600,160,0.8175,0.817333,-0.000167,0.799123,0.809649,0.010526,0.696283,0.689655,-0.006628,0.720833,0.715,-0.005833,0.94875,0.058269,66882,2938,0,9,100,154,239,0.01067540307683269,0.016436,1001,6081,0,10,104,145,239,0.009846168240224282,0.017742,1386,12557,0,10,101,171,242,0.010456041088254433,0.024698,375,1655,0,44,48,219,220,0.021550013324407143
ToyCar_id01,5302,482,0.967208,0.967143,-6.5e-05,0.895876,0.896446,0.00057,0.763437,0.748048,-0.015389,0.762052,0.75551,-0.006543,0.944361,0.054399,52215,2880,0,10,104,134,237,0.010126531593442902,0.014096,1120,4982,0,11,111,135,236,0.009076687294667162,0.011588,1336,12353,0,10,109,166,242,0.009814250187611017,0.083678,309,896,0,47,55,209,211,0.020570026607963983
ToyCar_id02,5313,483,0.976992,0.975918,-0.001074,0.960993,0.95647,-0.004523,0.788354,0.781905,-0.006449,0.80622,0.797334,-0.008886,0.964803,0.05533,53446,2358,0,10,102,141,240,0.01043732522979496,0.021378,968,4434,0,11,107,135,241,0.009436633643202894,0.015948,968,8415,0,8,77,170,242,0.013196636372663844,0.028864,234,1445,0,45,51,217,225,0.021552994495301736
ToyCar_id03,5313,483,0.986101,0.986574,0.000473,0.939623,0.947425,0.007801,0.757309,0.748648,-0.008661,0.764525,0.761791,-0.002734,0.947864,0.059559,45653,2152,0,10,105,136,238,0.010243979964669294,0.026769,1110,4511,0,11,108,135,242,0.009218986578813688,0.018411,1318,13617,0,10,106,170,241,0.009733965077738124,0.096492,226,1448,0,44,56,212,225,0.020095038601732628
