unit,epochs,sec,val_loss,val_auc,test_auc,test_pauc,test_f1_bal,test_acc_bal,test_seg_f1,test_seg_acc
fan_id00,60,55.4,0.1666,0.711,0.7289,0.6858,0.6468,0.6085,0.7347,0.6497
fan_id01,60,66.0,0.0335,0.9902,0.9879,0.9664,0.9105,0.9145,0.9188,0.9046
fan_id02,60,66.9,0.1113,0.9077,0.9478,0.8863,0.839,0.824,0.8897,0.8532
fan_id03,60,68.3,0.0422,0.9878,0.9871,0.9612,0.9083,0.912,0.9201,0.9025
fan_id04,60,68.9,0.099,0.9363,0.9677,0.9232,0.8349,0.8485,0.843,0.8208
fan_id05,60,71.4,0.0342,0.9913,0.9799,0.9786,0.9379,0.9381,0.9481,0.937
fan_id06,60,67.4,0.0013,1.0,0.9999,0.9994,0.9807,0.981,0.9803,0.9751
pump_id00,60,78.9,0.13,0.8343,0.8381,0.8385,0.7438,0.7326,0.7067,0.7302
pump_id01,60,80.1,0.0434,0.9921,0.9336,0.882,0.7919,0.8233,0.7831,0.8633
pump_id02,60,79.5,0.0428,0.986,0.993,0.9633,0.9315,0.933,0.9091,0.9346
pump_id03,60,58.8,0.0577,0.9802,0.9179,0.892,0.8672,0.8781,0.8478,0.8962
pump_id04,60,61.2,0.0004,1.0,0.9996,0.9979,0.9637,0.965,0.9637,0.9767
pump_id05,60,79.7,0.0181,0.9973,0.9476,0.8998,0.8603,0.872,0.8627,0.8616
pump_id06,60,82.0,0.0871,0.9634,0.9143,0.8824,0.8434,0.8471,0.8092,0.8689
slider_id00,60,57.6,0.0251,0.9974,0.9993,0.997,0.9777,0.978,0.9803,0.9752
slider_id01,60,86.7,0.0281,0.9938,0.9849,0.9385,0.9023,0.9073,0.9002,0.9106
slider_id02,60,88.2,0.0354,0.9913,0.9435,0.9065,0.8561,0.865,0.8641,0.8556
slider_id03,60,89.6,0.0933,0.9304,0.9074,0.8581,0.7759,0.7893,0.7685,0.7931
slider_id04,60,45.6,0.0107,0.9994,1.0,1.0,0.9762,0.9764,0.9757,0.9772
slider_id05,60,50.5,0.0759,0.9565,0.983,0.9237,0.8837,0.8831,0.8753,0.881
valve_id00,60,96.4,0.1588,0.7054,0.7087,0.5377,0.4391,0.57,0.3984,0.6188
valve_id01,60,74.5,0.1913,0.3403,0.5743,0.5711,0.6127,0.5292,0.5068,0.4562
valve_id02,60,56.7,0.1205,0.8854,0.904,0.9158,0.7276,0.7692,0.7109,0.8119
valve_id03,60,80.5,0.1873,0.6725,0.7787,0.7167,0.6321,0.6633,0.5731,0.6769
valve_id04,60,82.1,0.1715,0.5966,0.4633,0.493,0.4868,0.48,0.4143,0.4769
valve_id05,60,86.7,0.1223,0.8703,0.897,0.7766,0.7221,0.7245,0.7719,0.7193
valve_id06,60,80.4,0.1744,0.518,0.5645,0.4921,0.5925,0.5208,0.5009,0.4794
ToyCar_id01,60,68.8,0.101,0.8891,0.9785,0.9134,0.776,0.7696,0.6432,0.7575
ToyCar_id02,60,105.7,0.0748,0.9515,0.9894,0.964,0.8178,0.8185,0.7093,0.8161
ToyCar_id03,60,103.0,0.1226,0.8418,0.9918,0.9611,0.7952,0.7912,0.6604,0.7704
ToyCar_id04,60,105.7,0.0687,0.9485,0.9999,0.9997,0.8336,0.8397,0.7498,0.8524
ToyCar_id05,60,101.6,0.1413,0.7582,0.8629,0.7608,0.6538,0.6686,0.5749,0.6788
ToyCar_id06,60,101.3,0.0824,0.9256,0.999,0.9946,0.8254,0.8202,0.7526,0.8061
ToyCar_id07,60,101.7,0.0914,0.9054,0.9885,0.965,0.7643,0.7642,0.6884,0.7596
ToyConveyor_id01,60,112.9,0.0996,0.9058,0.958,0.8838,0.7673,0.7768,0.5944,0.7991
ToyConveyor_id02,60,109.5,0.1374,0.8159,0.9068,0.7818,0.7253,0.7239,0.4765,0.7084
ToyConveyor_id03,60,115.2,0.1082,0.8776,0.9893,0.9437,0.8443,0.832,0.5891,0.7686
ToyConveyor_id04,60,98.0,0.0603,0.9671,0.9979,0.9894,0.8793,0.884,0.8754,0.8868
ToyConveyor_id05,60,99.0,0.0951,0.9118,0.9703,0.8615,0.815,0.8023,0.8032,0.7988
ToyConveyor_id06,60,102.4,0.1042,0.8943,0.9783,0.9067,0.8214,0.8017,0.809,0.7971
