method,batch,sched,epochs,best_val_ep,plateau_ep,val_loss@best,val_auc@best,test_auc@best_val,test_pauc@best_val,test_auc@last,test_pauc@last,max_test_auc,max_test_auc_ep,sec_per_epoch
mix,32,const,200,189,193,0.0990,0.9145,0.4524,0.5011,0.4400,0.5098,0.5776,27,14.2642
mix,64,const,200,131,93,0.0955,0.9180,0.4243,0.4970,0.3959,0.4948,0.5413,12,6.9219
mix,128,const,200,182,114,0.0942,0.9194,0.4632,0.4897,0.4649,0.4950,0.5168,149,3.4325
mix,256,const,200,153,142,0.0932,0.9183,0.4474,0.4940,0.4317,0.4955,0.5561,36,1.6787
mix,512,const,200,199,76,0.0934,0.9202,0.4705,0.4884,0.4812,0.4941,0.5312,81,0.9257
other_id,32,const,200,190,194,0.0165,0.9976,0.4022,0.4986,0.4101,0.4977,0.4671,9,13.6737
other_id,64,const,200,101,91,0.0163,0.9979,0.4022,0.4906,0.4173,0.5030,0.4544,61,6.9914
other_id,128,const,200,116,138,0.0162,0.9980,0.4228,0.5006,0.4212,0.4964,0.5348,2,3.4130
other_id,256,const,200,193,139,0.0139,0.9983,0.3892,0.5045,0.3840,0.4963,0.4587,23,1.6957
other_id,512,const,200,162,144,0.0195,0.9974,0.4185,0.4992,0.4085,0.5041,0.4372,50,0.8633
real,256,const,200,6,5,0.1667,0.6652,0.6890,0.6950,0.7552,0.6767,0.7713,163,1.7415
