method | batch | sched | epochs | best_val_ep | plateau_ep | val_loss@best | val_auc@best | test_auc@best_val | test_pauc@best_val | test_auc@last | test_pauc@last | max_test_auc | max_test_auc_ep | sec_per_epoch
mix | 32 | const | 200 | 189 | 193 | 0.099 | 0.914 | 0.452 | 0.501 | 0.440 | 0.510 | 0.578 | 27 | 14.264
mix | 64 | const | 200 | 131 | 93 | 0.096 | 0.918 | 0.424 | 0.497 | 0.396 | 0.495 | 0.541 | 12 | 6.922
mix | 128 | const | 200 | 182 | 114 | 0.094 | 0.919 | 0.463 | 0.490 | 0.465 | 0.495 | 0.517 | 149 | 3.433
mix | 256 | const | 200 | 153 | 142 | 0.093 | 0.918 | 0.447 | 0.494 | 0.432 | 0.496 | 0.556 | 36 | 1.679
mix | 512 | const | 200 | 199 | 76 | 0.093 | 0.920 | 0.470 | 0.488 | 0.481 | 0.494 | 0.531 | 81 | 0.926
other_id | 32 | const | 200 | 190 | 194 | 0.017 | 0.998 | 0.402 | 0.499 | 0.410 | 0.498 | 0.467 | 9 | 13.674
other_id | 64 | const | 200 | 101 | 91 | 0.016 | 0.998 | 0.402 | 0.491 | 0.417 | 0.503 | 0.454 | 61 | 6.991
other_id | 128 | const | 200 | 116 | 138 | 0.016 | 0.998 | 0.423 | 0.501 | 0.421 | 0.496 | 0.535 | 2 | 3.413
other_id | 256 | const | 200 | 193 | 139 | 0.014 | 0.998 | 0.389 | 0.504 | 0.384 | 0.496 | 0.459 | 23 | 1.696
other_id | 512 | const | 200 | 162 | 144 | 0.020 | 0.997 | 0.418 | 0.499 | 0.408 | 0.504 | 0.437 | 50 | 0.863
real | 256 | const | 200 | 6 | 5 | 0.167 | 0.665 | 0.689 | 0.695 | 0.755 | 0.677 | 0.771 | 163 | 1.741
